team,matches_played,yellow_cards,red_cards,total_cards,cards_per_match,qualified,qualification_status,discipline_group
Algeria,3,1,0,1,0.33,1,Qualified,Fewer than 2
Argentina,3,2,0,2,0.67,1,Qualified,Fewer than 2
Australia,3,5,0,5,1.67,1,Qualified,Fewer than 2
Austria,3,4,0,4,1.33,1,Qualified,Fewer than 2
Belgium,3,3,1,5,1.67,1,Qualified,Fewer than 2
Bosnia and Herzegovina,3,6,1,8,2.67,1,Qualified,2 or more
Brazil,3,5,0,5,1.67,1,Qualified,Fewer than 2
Canada,3,5,0,5,1.67,1,Qualified,Fewer than 2
Cape Verde Islands,3,4,0,4,1.33,1,Qualified,Fewer than 2
Colombia,3,4,0,4,1.33,1,Qualified,Fewer than 2
Congo DR,3,5,0,5,1.67,1,Qualified,Fewer than 2
Croatia,3,2,0,2,0.67,1,Qualified,Fewer than 2
Curaçao,3,7,0,7,2.33,0,Eliminated,2 or more
Czech Republic,3,1,0,1,0.33,0,Eliminated,Fewer than 2
Ecuador,3,5,0,5,1.67,1,Qualified,Fewer than 2
Egypt,3,6,0,6,2.0,1,Qualified,2 or more
England,3,2,0,2,0.67,1,Qualified,Fewer than 2
France,3,1,0,1,0.33,1,Qualified,Fewer than 2
Germany,3,1,0,1,0.33,1,Qualified,Fewer than 2
Ghana,3,3,0,3,1.0,1,Qualified,Fewer than 2
Haiti,3,7,0,7,2.33,0,Eliminated,2 or more
Iran,3,6,0,6,2.0,0,Eliminated,2 or more
Iraq,3,4,1,6,2.0,0,Eliminated,2 or more
Ivory Coast,3,4,0,4,1.33,1,Qualified,Fewer than 2
Japan,3,1,0,1,0.33,1,Qualified,Fewer than 2
Jordan,3,4,0,4,1.33,0,Eliminated,Fewer than 2
Mexico,3,2,1,4,1.33,1,Qualified,Fewer than 2
Morocco,3,1,0,1,0.33,1,Qualified,Fewer than 2
Netherlands,3,3,0,3,1.0,1,Qualified,Fewer than 2
New Zealand,3,4,0,4,1.33,0,Eliminated,Fewer than 2
Norway,3,1,0,1,0.33,1,Qualified,Fewer than 2
Panama,3,5,0,5,1.67,0,Eliminated,Fewer than 2
Paraguay,3,7,1,9,3.0,1,Qualified,2 or more
Portugal,3,4,0,4,1.33,1,Qualified,Fewer than 2
Qatar,3,4,2,8,2.67,0,Eliminated,2 or more
Saudi Arabia,3,6,0,6,2.0,0,Eliminated,2 or more
Scotland,3,5,0,5,1.67,0,Eliminated,Fewer than 2
Senegal,3,2,0,2,0.67,1,Qualified,Fewer than 2
South Africa,3,5,2,9,3.0,1,Qualified,2 or more
South Korea,3,4,0,4,1.33,0,Eliminated,Fewer than 2
Spain,3,2,0,2,0.67,1,Qualified,Fewer than 2
Sweden,3,5,0,5,1.67,1,Qualified,Fewer than 2
Switzerland,3,3,0,3,1.0,1,Qualified,Fewer than 2
Tunisia,3,1,0,1,0.33,0,Eliminated,Fewer than 2
Turkey,3,2,0,2,0.67,0,Eliminated,Fewer than 2
USMNT,3,5,0,5,1.67,1,Qualified,Fewer than 2
Uruguay,3,5,1,7,2.33,0,Eliminated,2 or more
Uzbekistan,3,4,0,4,1.33,0,Eliminated,Fewer than 2
