team,matches_played,yellow_cards,red_cards,total_cards,cards_per_match,qualified,qualification_status,discipline_group
Canada,3,5,0,5,1.67,1,Qualified,Fewer than 2
Senegal,3,2,0,2,0.67,1,Qualified,Fewer than 2
Congo DR,3,5,0,5,1.67,1,Qualified,Fewer than 2
Croatia,3,2,0,2,0.67,1,Qualified,Fewer than 2
Spain,3,2,0,2,0.67,1,Qualified,Fewer than 2
France,3,1,0,1,0.33,1,Qualified,Fewer than 2
Colombia,3,4,0,4,1.33,1,Qualified,Fewer than 2
Germany,3,1,0,1,0.33,1,Qualified,Fewer than 2
USMNT,3,5,0,5,1.67,1,Qualified,Fewer than 2
Sweden,3,5,0,5,1.67,1,Qualified,Fewer than 2
Argentina,3,2,0,2,0.67,1,Qualified,Fewer than 2
Uzbekistan,3,4,0,4,1.33,0,Eliminated,Fewer than 2
Czech Republic,3,1,0,1,0.33,0,Eliminated,Fewer than 2
Ivory Coast,3,4,0,4,1.33,1,Qualified,Fewer than 2
Norway,3,1,0,1,0.33,1,Qualified,Fewer than 2
Ecuador,3,5,0,5,1.67,1,Qualified,Fewer than 2
Turkey,3,2,0,2,0.67,0,Eliminated,Fewer than 2
Australia,3,5,0,5,1.67,1,Qualified,Fewer than 2
Algeria,3,1,0,1,0.33,1,Qualified,Fewer than 2
Tunisia,3,1,0,1,0.33,0,Eliminated,Fewer than 2
Brazil,3,5,0,5,1.67,1,Qualified,Fewer than 2
Belgium,3,3,1,5,1.67,1,Qualified,Fewer than 2
South Korea,3,4,0,4,1.33,0,Eliminated,Fewer than 2
Mexico,3,2,1,4,1.33,1,Qualified,Fewer than 2
Japan,3,1,0,1,0.33,1,Qualified,Fewer than 2
Portugal,3,4,0,4,1.33,1,Qualified,Fewer than 2
Morocco,3,1,0,1,0.33,1,Qualified,Fewer than 2
Cape Verde Islands,3,4,0,4,1.33,1,Qualified,Fewer than 2
Iran,3,6,0,6,2.0,0,Eliminated,2 or more
Egypt,3,6,0,6,2.0,1,Qualified,2 or more
Curaçao,3,7,0,7,2.33,0,Eliminated,2 or more
Haiti,3,7,0,7,2.33,0,Eliminated,2 or more
Uruguay,3,5,1,7,2.33,0,Eliminated,2 or more
Bosnia and Herzegovina,3,6,1,8,2.67,1,Qualified,2 or more
Iraq,3,4,1,6,2.0,0,Eliminated,2 or more
South Africa,3,5,2,9,3.0,1,Qualified,2 or more
