Team,Goals,Shots,Goals/Shots,qualification,Average_goals_per_shot,Median_goals_per_shot,Std_goals_per_shot
Algeria,5,36,0.1389,Qualified,0.146984375,0.14725,0.058883915923072606
Argentina,8,34,0.2353,Qualified,0.146984375,0.14725,0.058883915923072606
Australia,2,26,0.0769,Qualified,0.146984375,0.14725,0.058883915923072606
Austria,6,27,0.2222,Qualified,0.146984375,0.14725,0.058883915923072606
Belgium,6,73,0.0822,Qualified,0.146984375,0.14725,0.058883915923072606
Bosnia and Herzegovina,5,27,0.1852,Qualified,0.146984375,0.14725,0.058883915923072606
Brazil,7,41,0.1707,Qualified,0.146984375,0.14725,0.058883915923072606
Canada,8,58,0.1379,Qualified,0.146984375,0.14725,0.058883915923072606
Cape Verde Islands,2,33,0.0606,Qualified,0.146984375,0.14725,0.058883915923072606
Colombia,4,59,0.0678,Qualified,0.146984375,0.14725,0.058883915923072606
Congo DR,4,34,0.1176,Qualified,0.146984375,0.14725,0.058883915923072606
Croatia,5,24,0.2083,Qualified,0.146984375,0.14725,0.058883915923072606
Curaçao,1,29,0.0345,Eliminated,0.071225,0.06185,0.03773040330202333
Czech Republic,2,34,0.0588,Eliminated,0.071225,0.06185,0.03773040330202333
Ecuador,2,46,0.0435,Qualified,0.146984375,0.14725,0.058883915923072606
Egypt,5,48,0.1042,Qualified,0.146984375,0.14725,0.058883915923072606
England,6,58,0.1034,Qualified,0.146984375,0.14725,0.058883915923072606
France,10,48,0.2083,Qualified,0.146984375,0.14725,0.058883915923072606
Germany,10,53,0.1887,Qualified,0.146984375,0.14725,0.058883915923072606
Ghana,2,15,0.1333,Qualified,0.146984375,0.14725,0.058883915923072606
Haiti,2,31,0.0645,Eliminated,0.071225,0.06185,0.03773040330202333
Iran,3,37,0.0811,Eliminated,0.071225,0.06185,0.03773040330202333
Iraq,1,21,0.0476,Eliminated,0.071225,0.06185,0.03773040330202333
Ivory Coast,4,31,0.129,Qualified,0.146984375,0.14725,0.058883915923072606
Japan,7,29,0.2414,Qualified,0.146984375,0.14725,0.058883915923072606
Jordan,3,24,0.125,Eliminated,0.071225,0.06185,0.03773040330202333
Mexico,6,35,0.1714,Qualified,0.146984375,0.14725,0.058883915923072606
Morocco,6,48,0.125,Qualified,0.146984375,0.14725,0.058883915923072606
Netherlands,10,40,0.25,Qualified,0.146984375,0.14725,0.058883915923072606
New Zealand,4,31,0.129,Eliminated,0.071225,0.06185,0.03773040330202333
Norway,8,35,0.2286,Qualified,0.146984375,0.14725,0.058883915923072606
Panama,0,32,0.0,Eliminated,0.071225,0.06185,0.03773040330202333
Paraguay,2,23,0.087,Qualified,0.146984375,0.14725,0.058883915923072606
Portugal,6,37,0.1622,Qualified,0.146984375,0.14725,0.058883915923072606
Qatar,2,17,0.1176,Eliminated,0.071225,0.06185,0.03773040330202333
Saudi Arabia,1,17,0.0588,Eliminated,0.071225,0.06185,0.03773040330202333
Scotland,1,29,0.0345,Eliminated,0.071225,0.06185,0.03773040330202333
Senegal,8,50,0.16,Qualified,0.146984375,0.14725,0.058883915923072606
South Africa,2,33,0.0606,Qualified,0.146984375,0.14725,0.058883915923072606
South Korea,2,32,0.0625,Eliminated,0.071225,0.06185,0.03773040330202333
Spain,5,55,0.0909,Qualified,0.146984375,0.14725,0.058883915923072606
Sweden,7,40,0.175,Qualified,0.146984375,0.14725,0.058883915923072606
Switzerland,7,45,0.1556,Qualified,0.146984375,0.14725,0.058883915923072606
Tunisia,2,18,0.1111,Eliminated,0.071225,0.06185,0.03773040330202333
Turkey,3,71,0.0423,Eliminated,0.071225,0.06185,0.03773040330202333
USMNT,8,44,0.1818,Qualified,0.146984375,0.14725,0.058883915923072606
Uruguay,3,49,0.0612,Eliminated,0.071225,0.06185,0.03773040330202333
Uzbekistan,2,18,0.1111,Eliminated,0.071225,0.06185,0.03773040330202333
