team,average_possession,median_possession,sd_possession,minimum_possession,maximum_possession,qualification
Algeria,63.0,65.0,10.14889156509222,52,72,Qualified
Argentina,58.333333333333336,54.0,13.051181300301261,48,73,Qualified
Australia,40.666666666666664,38.0,14.189197769195177,28,56,Qualified
Austria,48.0,46.0,14.106735979665885,35,63,Qualified
Belgium,59.333333333333336,54.0,9.237604307034013,54,70,Qualified
Bosnia and Herzegovina,43.666666666666664,39.0,8.962886439832502,38,54,Qualified
Brazil,54.0,54.0,3.0,51,57,Qualified
Canada,61.666666666666664,61.0,17.009801096230763,45,79,Qualified
Cape Verde Islands,37.333333333333336,35.0,12.662279942148386,26,51,Qualified
Colombia,60.0,61.0,4.58257569495584,55,64,Qualified
Congo DR,39.666666666666664,36.0,16.802777548171413,25,58,Qualified
Croatia,53.0,53.0,5.0,48,58,Qualified
Curaçao,32.333333333333336,35.0,6.429100507328638,25,37,Eliminated
Czech Republic,42.666666666666664,38.0,8.082903768654761,38,52,Eliminated
Ecuador,55.333333333333336,52.0,18.230011885167087,39,75,Qualified
Egypt,54.333333333333336,56.0,7.637626158259733,46,61,Qualified
England,66.0,67.0,13.527749258468683,52,79,Qualified
France,55.333333333333336,56.0,2.081665999466132,53,57,Qualified
Germany,62.0,61.0,2.6457513110645907,60,65,Qualified
Ghana,35.333333333333336,38.0,13.203534880225572,21,47,Qualified
Haiti,42.666666666666664,43.0,11.50362261782493,31,54,Eliminated
Iran,39.333333333333336,39.0,9.504384952922168,30,49,Eliminated
Iraq,38.0,39.0,6.557438524302,31,44,Eliminated
Ivory Coast,50.333333333333336,48.0,11.676186592091328,40,63,Qualified
Japan,51.333333333333336,52.0,11.015141094572202,40,62,Qualified
Jordan,30.666666666666668,28.0,5.507570547286101,27,37,Eliminated
Mexico,50.333333333333336,48.0,9.71253485622231,42,61,Qualified
Morocco,59.0,59.0,10.0,49,69,Qualified
Netherlands,60.666666666666664,60.0,10.016652800877814,51,71,Qualified
New Zealand,47.0,46.0,3.605551275463989,44,51,Eliminated
Norway,48.666666666666664,43.0,10.692676621563628,42,61,Qualified
Panama,45.666666666666664,42.0,14.84362938547488,33,62,Eliminated
Paraguay,33.333333333333336,35.0,11.590225767142474,21,44,Qualified
Portugal,62.0,66.0,15.394804318340652,45,75,Qualified
Qatar,33.0,32.0,12.529964086141668,21,46,Eliminated
Saudi Arabia,38.333333333333336,33.0,9.237604307034012,33,49,Eliminated
Scotland,44.333333333333336,46.0,2.886751345948128,41,46,Eliminated
Senegal,58.0,58.0,11.0,47,69,Qualified
South Africa,44.333333333333336,39.0,15.69500982265807,32,62,Qualified
South Korea,62.666666666666664,62.0,5.033222956847167,58,68,Eliminated
Spain,69.33333333333333,67.0,4.04145188432738,67,74,Qualified
Sweden,48.666666666666664,49.0,0.5773502691896247,48,49,Qualified
Switzerland,61.666666666666664,62.0,6.5064070986477125,55,68,Qualified
Tunisia,39.333333333333336,38.0,11.060440015358038,29,51,Eliminated
Turkey,66.0,72.0,16.822603841260722,47,79,Eliminated
USMNT,60.0,62.0,6.244997998398398,53,65,Qualified
Uruguay,55.0,65.0,19.078784028338912,33,67,Eliminated
Uzbekistan,38.333333333333336,39.0,4.04145188432738,34,42,Eliminated
